[2026-01-12T08:03:18.333Z] GET /auth/me 200 (39ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:03:19.292Z] GET /auth/me 304 (2ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:03:19.418Z] GET /student/profile 304 (5ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:03:20.059Z] GET /enrollment/my-classes 304 (10ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:03:20.560Z] GET /student/attendance 304 (13ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:03:21.325Z] POST /auth/logout 200 (8ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:03:48.239Z] GET /auth/me 401 (1ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:04:43.017Z] GET /auth/me 401 (1ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:04:45.042Z] POST /auth/login 200 (68ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:04:45.775Z] GET /student/profile 200 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:04:46.359Z] GET /enrollment/my-classes 200 (5ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:04:47.024Z] GET /student/attendance 200 (6ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:05:12.163Z] GET /student/profile 200 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:05:12.477Z] GET /enrollment/my-classes 200 (4ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
